,TotUnder5,Hispanic,GroupQuarter,LEPspanHHs,TotPopBornOutUS,Renter_TOTAL,HH_SingleParent,HH_Renter_Crowded,Poverty_Less100,Poverty_Less200,Units_2Plus,NoInternet,CellularOnly,HHer15to34,clusters
1049,336,177,139,0,762,2046,56,39,930,1293,2075,445,101,1499,3
1050,7,10,0,0,0,318,79,0,358,589,271,171,66,99,4
1051,30,11,0,0,0,227,54,5,260,603,126,267,38,14,4
1052,130,0,13,0,0,336,97,25,656,1245,192,368,20,36,4
1053,139,0,0,0,0,369,106,22,703,1502,61,504,63,90,4
1054,322,0,0,0,0,1056,483,14,1772,2649,1105,717,296,444,1
1055,468,0,9,0,0,521,271,48,1426,1811,289,422,207,237,1
1056,177,0,0,0,99,705,219,0,1145,1901,382,567,184,206,1
1057,208,705,0,104,390,611,300,24,1316,2140,50,597,84,203,3
1058,531,1767,0,129,913,742,185,107,906,2910,192,322,195,289,3
1059,231,486,1,59,323,745,361,34,1688,2523,337,735,97,269,1
1060,274,95,0,8,60,376,141,52,695,1320,141,356,79,168,1
1061,104,163,0,8,97,273,120,11,428,951,165,298,75,135,1
1062,138,109,1177,0,218,343,7,0,397,509,338,143,64,108,4
1063,59,26,5,0,57,809,169,0,201,1150,495,440,158,405,1
1064,39,8,12,0,16,215,96,25,338,892,133,261,48,39,4
1065,231,58,146,0,95,444,168,26,745,1471,333,263,77,214,4
1066,98,51,0,0,0,503,122,0,641,938,384,196,91,206,4
1067,238,175,0,56,203,746,250,28,832,1474,707,514,58,280,1
1068,192,341,91,21,191,585,75,35,840,1499,449,188,77,318,1
1069,201,82,14,0,185,530,52,0,336,755,440,68,65,327,4
1070,143,220,27,32,495,438,81,57,603,902,288,159,101,227,3
1071,313,44,0,23,50,827,233,9,1444,2081,713,781,91,255,1
1072,371,53,0,0,48,432,37,0,559,1132,293,201,124,460,4
1073,117,21,213,0,120,757,134,9,739,1745,815,402,75,191,4
1074,157,173,412,0,178,756,61,0,432,854,873,290,100,464,4
1075,97,217,519,13,244,1663,44,0,626,1407,1845,532,219,711,1
1076,156,122,0,0,62,320,43,0,235,453,169,43,110,283,4
1077,55,96,0,22,117,847,29,0,541,1176,940,156,124,457,1
1078,264,156,70,0,133,676,92,11,504,957,714,341,138,348,4
1079,68,247,86,18,332,799,39,39,491,995,1072,284,112,360,1
1080,47,25,64,0,65,815,69,13,473,821,931,420,34,279,4
1081,0,11,95,0,61,635,8,0,413,531,698,307,106,170,4
1082,77,54,36,0,173,1002,53,60,604,796,1078,476,108,221,1
1083,0,58,13,0,88,1538,32,35,304,514,2349,382,174,939,3
1084,46,69,0,8,108,670,42,0,163,510,1122,115,52,433,1
1085,122,40,40,0,6,264,116,6,614,766,148,214,0,66,4
1086,106,0,37,0,26,602,98,12,380,844,634,357,65,166,4
1087,64,0,44,0,2,301,112,7,595,844,279,206,46,40,4
1088,197,19,0,0,6,730,97,37,1111,1892,313,859,62,57,1
1089,119,38,0,15,29,479,119,8,764,1360,524,619,66,160,1
1090,109,0,0,0,0,705,277,12,1240,2298,351,997,103,111,1
1091,182,6,69,0,9,402,158,22,782,1526,132,620,16,103,4
1092,16,0,0,0,0,249,104,0,411,576,226,222,3,51,4
1093,217,18,30,12,11,416,229,17,1191,1979,250,555,54,124,1
1094,224,38,0,0,9,396,190,9,634,1338,9,598,47,132,4
1095,48,0,0,0,0,277,92,9,425,994,51,367,44,61,4
1096,164,26,0,0,26,596,124,21,421,1100,266,297,111,401,4
1097,55,18,0,0,20,300,123,0,326,584,147,332,76,119,4
1098,131,0,0,0,0,572,183,19,1104,1916,349,440,86,93,4
1099,165,100,0,0,60,770,91,0,710,1166,505,299,174,453,4
1100,225,19,10,0,28,753,425,61,1807,2827,271,717,57,160,1
1101,161,20,0,0,4,485,150,14,741,1519,227,495,137,163,4
1102,178,7,0,0,19,411,214,16,1183,1907,65,577,78,60,4
1103,192,124,66,12,88,945,209,0,811,2240,820,515,109,486,1
1104,171,15,0,0,2,218,68,0,230,398,94,145,58,288,4
1105,133,51,0,0,106,449,33,0,354,483,286,45,129,554,4
1106,33,201,2360,0,394,1249,21,0,864,1423,1467,465,129,508,4
1107,148,65,147,0,206,855,32,29,1016,1501,493,105,89,651,4
1108,23,1,9,0,9,222,115,6,425,932,13,414,28,40,4
1109,241,0,0,0,56,588,206,27,1332,1842,758,552,74,265,1
1110,362,27,31,0,17,1085,624,69,2582,3528,777,1219,172,460,2
1111,171,137,0,58,108,369,159,26,758,1257,154,456,45,87,1
1112,330,0,0,0,0,1258,552,33,1584,3455,790,933,200,631,1
1113,213,0,7,0,23,1248,403,0,971,3081,330,837,212,592,1
1114,336,348,0,49,264,582,227,66,967,1922,677,499,72,267,1
1115,343,79,11,0,79,963,463,0,1525,3021,876,1074,189,252,1
1116,647,872,0,142,508,1052,541,37,2478,3868,688,696,239,542,3
1117,262,38,0,0,161,307,53,0,163,358,353,203,78,77,4
1118,421,454,5,66,473,580,177,50,697,1308,528,228,309,441,3
1119,461,1376,0,182,918,755,208,62,1083,2444,228,441,246,366,3
1120,730,3338,5,285,1892,1060,436,120,2576,5101,277,823,94,508,3
1121,682,2029,88,169,1052,745,234,59,2307,3613,538,438,152,389,3
1122,497,1734,0,157,1159,560,107,40,1724,2686,117,314,65,228,3
1123,640,80,20,0,692,648,312,0,832,1637,421,176,240,760,4
1124,503,456,4,16,230,462,57,7,371,1237,478,382,141,424,3
1125,211,245,0,22,196,507,96,20,439,926,106,240,184,413,3
1126,329,246,0,0,434,509,260,0,396,795,269,324,151,612,4
1127,195,273,101,49,407,285,143,0,329,807,193,91,16,260,3
1128,172,191,0,0,242,386,298,25,1127,1666,114,269,181,143,1
1129,345,890,0,31,548,516,143,39,834,1958,129,320,130,218,3
